price,beds,living,baths,sqmt,epc,tax,date,link,house,lat,lon
800,2,1,1,57,c,c,07/07/2024,https://www.aspc.co.uk/search/property/426245/58A-Erroll-Street/Aberdeen/,58A Erroll Street,57.15659345,-2.092078895
450,1,1,1,31,g,a,07/07/2024,https://www.aspc.co.uk/search/property/426207/Flat-F--10-Allan-Street/Aberdeen/,"Flat F, 10 Allan Street",57.13591017,-2.117101752
825,2,1,1,59,b,d,07/07/2024,https://www.aspc.co.uk/search/property/426195/25G-Seaforth-Road/Aberdeen/,25G Seaforth Road,57.15635809,-2.093968799
680,2,1,1,71,c,b,07/07/2024,https://www.aspc.co.uk/search/property/426187/8-Taransay-Crescent/Aberdeen/,8 Taransay Crescent,57.15535682,-2.176629364
600,1,1,1,40,c,a,07/07/2024,https://www.aspc.co.uk/search/property/426134/835-Great-Northern-Road/Aberdeen/,835 Great Northern Road,57.173016,-2.147044035
700,2,1,1,60,d,d,07/07/2024,https://www.aspc.co.uk/search/property/426133/542C-Great-Western-Road/Aberdeen/,542C Great Western Road,57.13110272,-2.138615434
650,2,1,1,54,c,d,07/07/2024,https://www.aspc.co.uk/search/property/426115/80-Gairn-Mews--Gairn-Terrace/Aberdeen/,"80 Gairn Mews, Gairn Terrace",57.13154936,-2.115979035
800,2,1,1,66,c,d,07/07/2024,https://www.aspc.co.uk/search/property/426099/35-McIntosh-Crescent/Aberdeen/,35 McIntosh Crescent,57.21260155,-2.190067854
695,2,1,1,59,c,b,07/07/2024,https://www.aspc.co.uk/search/property/426092/142-Morrison-Drive/Aberdeen/,142 Morrison Drive,57.12296727,-2.145668504
650,1,1,1,47,c,b,07/07/2024,https://www.aspc.co.uk/search/property/426054/3A-Albert-Place/Aberdeen/,3A Albert Place,57.14649055,-2.117490907
750,2,1,2,66,c,d,07/07/2024,https://www.aspc.co.uk/search/property/426031/72-Grandholm-Crescent/Aberdeen/,72 Grandholm Crescent,57.17726245,-2.12273981
1000,2,1,2,77,c,e,07/07/2024,https://www.aspc.co.uk/search/property/425920/110D-Earls-Court--Anderson-Drive/Aberdeen/,"110D Earls Court, Anderson Drive",57.14031162,-2.142140181
595,1,1,1,54,c,c,07/07/2024,https://www.aspc.co.uk/search/property/425908/First-Floor-Left--44-Thomson-Street/Aberdeen/,"First Floor Left, 44 Thomson Street",57.15149673,-2.120071423
675,2,1,1,47,c,d,07/07/2024,https://www.aspc.co.uk/search/property/425827/122-Picktillum-Place/Aberdeen/,122 Picktillum Place,57.16136164,-2.117297706
500,1,1,1,33,d,a,07/07/2024,https://www.aspc.co.uk/search/property/425791/Flat-4--50-John-Street/Aberdeen/,"Flat 4, 50 John Street",57.15102982,-2.103219411
750,2,1,1,31,c,d,07/07/2024,https://www.aspc.co.uk/search/property/425687/16-Candlemakers-Lane/Aberdeen/,16 Candlemakers Lane,57.15111636,-2.099514764
1000,2,1,1,98,d,e,07/07/2024,https://www.aspc.co.uk/search/property/425668/39-Cromwell-Road/Aberdeen/,39 Cromwell Road,57.13752781,-2.133636047
550,1,1,1,35,c,b,07/07/2024,https://www.aspc.co.uk/search/property/425641/23-Charleston-Gardens/Aberdeen/,23 Charleston Gardens,57.09682698,-2.097586621
825,2,1,2,61,c,d,07/07/2024,https://www.aspc.co.uk/search/property/425634/Flat-5--2a-Deemount-Terrace/Aberdeen/,"Flat 5, 2a Deemount Terrace",57.13356536,-2.102519834
850,2,1,2,63,b,NA,07/07/2024,https://www.aspc.co.uk/search/property/425463/8-Mill-Park/Aberdeen/,8 Mill Park,57.18095445,-2.165097717
550,1,1,1,32,e,a,07/07/2024,https://www.aspc.co.uk/search/property/425438/33-Hartington-Road/Aberdeen/,33 Hartington Road,57.14067254,-2.124038729
500,1,1,1,54,d,b,07/07/2024,https://www.aspc.co.uk/search/property/425434/38b-Charlotte-Street/Aberdeen/,38b Charlotte Street,57.15077282,-2.104085883
1400,3,1,2,133,e,e,16/07/2024,https://www.aspc.co.uk/search/property/426515/41-Albury-Place/Aberdeen/,41 Albury Place,57.1382948,-2.106831152
1600,3,2,1,134,c,f,16/07/2024,https://www.aspc.co.uk/search/property/426491/3-Cairn-Crescent/Aberdeen/,3 Cairn Crescent,57.11563317,-2.194127729
750,2,1,1,67,c,c,16/07/2024,https://www.aspc.co.uk/search/property/426465/TFR--20-Esslemont-Avenue/Aberdeen/,"TFR, 20 Esslemont Avenue",57.14792564,-2.114009
1350,3,1,2,84,c,e,16/07/2024,https://www.aspc.co.uk/search/property/426405/3-Brockwood-Place/Aberdeen/,3 Brockwood Place,57.210605,-2.290467764
595,1,1,1,40,d,a,16/07/2024,https://www.aspc.co.uk/search/property/426387/GFR--278-Union-Grove/Aberdeen/,"GFR, 278 Union Grove",57.13905827,-2.127788682
525,1,1,1,40,d,b,16/07/2024,https://www.aspc.co.uk/search/property/426385/80-Fonthill-Road/Aberdeen/,80 Fonthill Road,57.13746809,-2.112440058
675,2,1,1,54,c,c,16/07/2024,https://www.aspc.co.uk/search/property/426383/49-Picktillum-Avenue/Aberdeen/,49 Picktillum Avenue,57.16226582,-2.118185364
800,2,1,1,73,c,e,16/07/2024,https://www.aspc.co.uk/search/property/426382/130D-Balmoral-Square--Great-Western-Road/Aberdeen/,"130D Balmoral Square, Great Western Road",57.13813309,-2.118836764
750,2,1,1,49,c,b,16/07/2024,https://www.aspc.co.uk/search/property/426376/71-Kirk-Brae/Aberdeen/,71 Kirk Brae,57.12078971,-2.18088781
1450,4,2,2,131,e,f,16/07/2024,https://www.aspc.co.uk/search/property/426309/10-Gordon-Terrace/Aberdeen/,10 Gordon Terrace,57.20572927,-2.188353353
550,1,1,1,52,c,b,16/07/2024,https://www.aspc.co.uk/search/property/426288/40-Linksfield-Gardens/Aberdeen/,40 Linksfield Gardens,57.16195364,-2.095728364
1200,3,2,1,100,d,e,16/07/2024,https://www.aspc.co.uk/search/property/425775/Avondale--19-Forbes-Street/Aberdeen/,"Avondale, 19 Forbes Street",57.15148127,-2.111918694
750,2,1,1,61,c,d,16/07/2024,https://www.aspc.co.uk/search/property/425687/16-Candlemakers-Lane/Aberdeen/,16 Candlemakers Lane,57.15111818,-2.099501353
1000,2,1,1,98,d,e,16/07/2024,https://www.aspc.co.uk/search/property/425668/39-Cromwell-Road/Aberdeen/,39 Cromwell Road,57.1375329,-2.133628
550,1,1,1,35,c,b,16/07/2024,https://www.aspc.co.uk/search/property/425641/23-Charleston-Gardens/Aberdeen/,23 Charleston Gardens,57.09683645,-2.097528953
825,2,1,2,61,c,d,16/07/2024,https://www.aspc.co.uk/search/property/425634/Flat-5--2a-Deemount-Terrace/Aberdeen/,"Flat 5, 2a Deemount Terrace",57.13356609,-2.102499047
1100,3,2,2,89,c,f,16/07/2024,https://www.aspc.co.uk/search/property/425510/14-Callum-Wynd/Aberdeen/,14 Callum Wynd,57.15957591,-2.228466364
850,2,1,2,63,b,NA,16/07/2024,https://www.aspc.co.uk/search/property/425463/8-Mill-Park/Aberdeen/,8 Mill Park,57.18092465,-2.165096376
500,1,1,1,54,d,b,16/07/2024,https://www.aspc.co.uk/search/property/425434/38b-Charlotte-Street/Aberdeen/,38b Charlotte Street,57.15076918,-2.104083872
595,1,1,1,48,c,b,16/07/2024,https://www.aspc.co.uk/search/property/425433/29-Wallfield-Place/Aberdeen/,29 Wallfield Place,57.14827636,-2.120597434
525,1,1,1,30,d,a,16/07/2024,https://www.aspc.co.uk/search/property/425288/Second-Floor-Left--10c-King-Street/Aberdeen/,"Second Floor Left, 10c King Street",57.14851618,-2.093178
700,2,1,1,61,c,c,16/07/2024,https://www.aspc.co.uk/search/property/425234/25b-Cairnfield-Place/Aberdeen/,25b Cairnfield Place,57.17529836,-2.164970965
995,3,1,2,122,c,f,16/07/2024,https://www.aspc.co.uk/search/property/425222/14-Elmhill-House--Shaw-Crescent/Aberdeen/,"14 Elmhill House, Shaw Crescent",57.15704582,-2.123501283
1350,3,1,2,98,c,e,16/07/2024,https://www.aspc.co.uk/search/property/425153/14-Brooke-Rise/Aberdeen/,14 Brooke Rise,57.14903518,-2.216785058
725,2,1,1,50,c,d,16/07/2024,https://www.aspc.co.uk/search/property/425122/67-Bloomfield-Court/Aberdeen/,67 Bloomfield Court,57.13527116,-2.112082426
475,1,1,1,46,d,a,16/07/2024,https://www.aspc.co.uk/search/property/425116/33-Ashgrove-Gardens-South/Aberdeen/,33 Ashgrove Gardens South,57.15706218,-2.142359729
900,2,2,2,124,e,f,16/07/2024,https://www.aspc.co.uk/search/property/425064/3-Abbotsford-Place/Aberdeen/,3 Abbotsford Place,57.13787299,-2.102995012
800,2,1,1,68,c,d,16/07/2024,https://www.aspc.co.uk/search/property/425043/15-Laurel-Avenue/Aberdeen/,15 Laurel Avenue,57.17962764,-2.128758353
975,4,2,1,109,c,d,16/07/2024,https://www.aspc.co.uk/search/property/425039/81-Sunnyside-Road/Aberdeen/,81 Sunnyside Road,57.16100118,-2.106852694
750,2,1,1,67,c,c,16/07/2024,https://www.aspc.co.uk/search/property/424979/86B-Middlefield-Place/Aberdeen/,86B Middlefield Place,57.16891718,-2.138317694
600,2,1,1,72,d,b,16/07/2024,https://www.aspc.co.uk/search/property/424961/44-Overhill-Gardens/Aberdeen/,44 Overhill Gardens,57.183301,-2.114513399
800,2,1,1,62,b,e,16/07/2024,https://www.aspc.co.uk/search/property/424939/154D-Gray-Street/Aberdeen/,154D Gray Street,57.13082291,-2.117641694
650,2,1,1,57,d,b,16/07/2024,https://www.aspc.co.uk/search/property/424912/4B-Urquhart-Street/Aberdeen/,4B Urquhart Street,57.15513173,-2.090821012
900,2,1,2,65,c,c,16/07/2024,https://www.aspc.co.uk/search/property/424743/69-Mearns-Street/Aberdeen/,69 Mearns Street,57.14663018,-2.089391225
1500,5,3,3,250,c,g,16/07/2024,https://www.aspc.co.uk/search/property/424656/3-McKays-Park/Aberdeen/,3 McKay's Park,57.25889601,-2.086368671
600,1,1,1,56,d,a,16/07/2024,https://www.aspc.co.uk/search/property/424261/9-Summer-Place/Aberdeen/,9 Summer Place,57.20394955,-2.190486965
595,2,1,1,41,d,a,16/07/2024,https://www.aspc.co.uk/search/property/424167/29-Gladstone-Place/Aberdeen/,29 Gladstone Place,57.17182692,-2.125460799
1800,3,1,2,91,c,b,16/07/2024,https://www.aspc.co.uk/search/property/370602/18a-Golden-Square/Aberdeen/,18a Golden Square,57.14581264,-2.105716598
750,2,1,2,60,c,d,20/07/2024,https://www.aspc.co.uk/search/property/426516/188-Merkland-Lane/Aberdeen/,188 Merkland Lane,57.15831936,-2.089580058
875,2,1,2,71,b,d,20/07/2024,https://www.aspc.co.uk/search/property/426517/7-Midstocket-View/Aberdeen/,7 Midstocket View,57.15118209,-2.149870329
1150,3,2,1,100,d,e,20/07/2024,https://www.aspc.co.uk/search/property/426547/Avondale--19-Forbes-Street/Aberdeen/,"Avondale, 19 Forbes Street",57.15148964,-2.111911988
1200,3,1,1,100,c,f,20/07/2024,https://www.aspc.co.uk/search/property/426549/84-Burnieboozle-Crescent/Aberdeen/,84 Burnieboozle Crescent,57.13584618,-2.164585341
675,2,1,1,58,c,c,20/07/2024,https://www.aspc.co.uk/search/property/426550/40-Mineralwell-View/Stonehaven/,40 Mineralwell View,56.97237272,-2.214131329
925,2,1,2,88,d,e,20/07/2024,https://www.aspc.co.uk/search/property/426554/3-Caledonian-Court/Aberdeen/,3 Caledonian Court,57.139183,-2.102129
425,1,0,1,27,g,a,20/07/2024,https://www.aspc.co.uk/search/property/426581/Top-Floor-Left--11-Commerce-Street/Aberdeen/,"Top Floor Left, 11 Commerce Street",57.14704182,-2.087659388
1900,4,2,2,186,b,g,20/07/2024,https://www.aspc.co.uk/search/property/426584/3-Sleigh-Park/Inverurie/,3 Sleigh Park,57.34108456,-2.420045023
650,2,1,1,66,d,d,20/07/2024,https://www.aspc.co.uk/search/property/426588/134-Oldcroft-Place/Aberdeen/,134 Oldcroft Place,57.15762591,-2.145689671
850,2,1,2,84,b,d,20/07/2024,https://www.aspc.co.uk/search/property/426600/84-Burnside-Road/Aberdeen/,84 Burnside Road,57.19947919,-2.18170007
800,2,1,1,58,c,d,20/07/2024,https://www.aspc.co.uk/search/property/426621/7-Wellside-Circle/Aberdeen/,7 Wellside Circle,57.15969409,-2.212015644
1000,2,1,2,81,b,d,20/07/2024,https://www.aspc.co.uk/search/property/426630/31-May-Baird-Gardens/Aberdeen/,31 May Baird Gardens,57.15650009,-2.120885364
900,2,1,2,88,b,d,20/07/2024,https://www.aspc.co.uk/search/property/426635/6-Persley-Den-Gardens/Aberdeen/,6 Persley Den Gardens,57.17576557,-2.142534353
595,1,1,1,34,c,a,20/07/2024,https://www.aspc.co.uk/search/property/426640/50-Claremont-Street/Aberdeen/,50 Claremont Street,57.13867245,-2.121262329
750,3,1,1,84,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426649/4-Crown-Terrace/Aberdeen/,4 Crown Terrace,57.14416845,-2.101609318
1650,4,2,2,135,b,f,05/08/2024,https://www.aspc.co.uk/search/property/426657/3-Clark-Avenue/Banchory/,3 Clark Avenue,57.06125164,-2.480294318
1500,4,2,2,153,c,f,05/08/2024,https://www.aspc.co.uk/search/property/426658/7-Schoolhill-Place/Aberdeen/,7 Schoolhill Place,57.07242282,-2.127358
1100,4,1,2,133,e,e,05/08/2024,https://www.aspc.co.uk/search/property/426663/21-High-Street/Banchory/,21 High Street,57.05188172,-2.509990306
525,1,1,1,46,e,b,05/08/2024,https://www.aspc.co.uk/search/property/426664/123-Fairview-Circle/Aberdeen/,123 Fairview Circle,57.18307773,-2.145115012
750,2,1,2,80,c,c,05/08/2024,https://www.aspc.co.uk/search/property/426673/Butlers-Cottage/Insch/,Butlers Cottage,57.32974194,-2.544230965
1500,4,4,2,283,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426674/Lower-Whitehills--Lochside/Montrose/,"Lower Whitehills, Lochside",56.77474731,-2.432149376
450,1,1,1,33,d,a,05/08/2024,https://www.aspc.co.uk/search/property/426690/Top-Floor-Right--79-Menzies-Road/Aberdeen/,"Top Floor Right, 79 Menzies Road",57.13561345,-2.092671353
1050,3,1,2,94,e,b,05/08/2024,https://www.aspc.co.uk/search/property/426697/4-School-Cottage/Stonehaven/,4 School Cottage,56.90569026,-2.269302
750,2,1,2,71,c,d,05/08/2024,https://www.aspc.co.uk/search/property/426699/102-Merkland-Lane/Aberdeen/,102 Merkland Lane,57.15832009,-2.089502329
650,2,1,1,46,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426706/158f-Hutcheon-Street/Aberdeen/,158f Hutcheon Street,57.15348527,-2.111003953
550,1,1,1,44,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426711/Flat-C--62-Holburn-Street/Aberdeen/,"Flat C, 62 Holburn Street",57.14129936,-2.113249671
750,2,1,1,65,c,c,05/08/2024,https://www.aspc.co.uk/search/property/426719/Flat-M-Torwood--Leslie-Place/Inverurie/,"Flat M Torwood, Leslie Place",57.27210188,-2.37010514
875,2,1,2,67,c,d,05/08/2024,https://www.aspc.co.uk/search/property/426724/120-Urquhart-Road/Aberdeen/,120 Urquhart Road,57.15489046,-2.087136682
800,2,1,1,80,c,d,05/08/2024,https://www.aspc.co.uk/search/property/426745/8-Bellfield-View/Aberdeen/,8 Bellfield View,57.15093173,-2.220644752
875,3,1,1,112,f,d,05/08/2024,https://www.aspc.co.uk/search/property/426749/Druidsfield/Alford/,Druidsfield,57.24750294,-2.699183636
850,3,1,1,74,d,b,05/08/2024,https://www.aspc.co.uk/search/property/426751/Flat-A--6-Printfield-Walk/Aberdeen/,"Flat A, 6 Printfield Walk",57.16822945,-2.122310659
1100,3,2,1,98,c,d,05/08/2024,https://www.aspc.co.uk/search/property/426752/35-Fraser-Drive/Westhill/,35 Fraser Drive,57.15099137,-2.293238647
1050,3,1,1,59,d,d,05/08/2024,https://www.aspc.co.uk/search/property/426766/43c-Regent-Walk/Aberdeen/,43c Regent Walk,57.16450045,-2.094732
650,1,1,1,44,c,b,05/08/2024,https://www.aspc.co.uk/search/property/426774/17-Trinity-Court/Westhill/,17 Trinity Court,57.15514691,-2.280694341
525,1,1,1,36,d,a,05/08/2024,https://www.aspc.co.uk/search/property/426805/60-Esslemont-Avenue/Aberdeen/,60 Esslemont Avenue,57.14910109,-2.116476528
1800,4,2,2,195,b,b,05/08/2024,https://www.aspc.co.uk/search/property/426809/22-Sycamore-Grove/Inverurie/,22 Sycamore Grove,57.28119636,-2.406093434
495,2,1,1,49,e,a,05/08/2024,https://www.aspc.co.uk/search/property/426811/12-Main-Street/Huntly/,12 Main Street,57.28771964,-2.873398318
575,1,1,1,43,d,a,05/08/2024,https://www.aspc.co.uk/search/property/426814/67-Nether-Blackhall/Inverurie/,67 Nether Blackhall,57.28788682,-2.400964353
1400,3,1,2,133,e,e,05/08/2024,https://www.aspc.co.uk/search/property/426834/41-Albury-Place/Aberdeen/,41 Albury Place,57.13830572,-2.106802318
1395,4,2,3,135,c,f,05/08/2024,https://www.aspc.co.uk/search/property/426836/4-Duffshill-Drive/Aberdeen/,4 Duffshill Drive,57.076284,-2.127603671
525,1,1,1,40,d,b,05/08/2024,https://www.aspc.co.uk/search/property/426837/80-Fonthill-Road/Aberdeen/,80 Fonthill Road,57.13746663,-2.112438047
700,2,1,1,60,d,d,05/08/2024,https://www.aspc.co.uk/search/property/426838/542C-Great-Western-Road/Aberdeen/,542C Great Western Road,57.13110745,-2.138601353
650,1,1,1,47,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426847/Flat-4--207-Great-Western-Road/Aberdeen/,"Flat 4, 207 Great Western Road",57.136736,-2.120746624
600,2,1,1,58,d,b,05/08/2024,https://www.aspc.co.uk/search/property/426869/5A-Loirston-Place/Aberdeen/,5A Loirston Place,57.13444699,-2.07857507
795,2,1,1,59,b,d,05/08/2024,https://www.aspc.co.uk/search/property/426870/25G-Seaforth-Road/Aberdeen/,25G Seaforth Road,57.15635918,-2.09395807
1295,3,1,2,72,e,c,05/08/2024,https://www.aspc.co.uk/search/property/426884/Flat-1C--16-Bridge-Street/Aberdeen/,"Flat 1C, 16 Bridge Street",57.14517936,-2.101878035
895,2,1,1,90,c,e,05/08/2024,https://www.aspc.co.uk/search/property/426897/9-Corunna-Place/Aberdeen/,9 Corunna Place,57.18103772,-2.084814706
750,2,1,1,60,c,b,05/08/2024,https://www.aspc.co.uk/search/property/426907/Flat-D--21-Seaton-Road/Aberdeen/,"Flat D, 21 Seaton Road",57.16908555,-2.092342988
650,3,1,1,72,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426913/69-Queen-Street/Peterhead/,69 Queen Street,57.50776162,-1.782893
600,1,1,1,40,c,a,05/08/2024,https://www.aspc.co.uk/search/property/426920/835-Great-Northern-Road/Aberdeen/,835 Great Northern Road,57.17302036,-2.147040682
750,2,1,1,57,d,d,05/08/2024,https://www.aspc.co.uk/search/property/426935/Flat-6-Bonnymuir-Court--Bonnymuir-Place/Aberdeen/,"Flat 6, Bonnymuir Court, Bonnymuir Place",57.15181609,-2.129956388
650,2,1,1,60,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426953/21-Station-Court/Banchory/,21 Station Court,57.05180171,-2.488713988
725,2,1,1,58,d,c,05/08/2024,https://www.aspc.co.uk/search/property/426981/35-Esslemont-Drive/Inverurie/,35 Esslemont Drive,57.27978146,-2.387543988
3200,5,4,2,167,c,g,05/08/2024,https://www.aspc.co.uk/search/property/426985/49-Woodlands-Avenue/Aberdeen/,49 Woodlands Avenue,57.12346845,-2.166581023
850,2,1,2,77,b,d,05/08/2024,https://www.aspc.co.uk/search/property/426992/63-McIntosh-Crescent/Aberdeen/,63 McIntosh Crescent,57.2128079,-2.189878977
820,2,1,2,62,b,c,05/08/2024,https://www.aspc.co.uk/search/property/427001/8-Birchlee--Blackhall-Road/Inverurie/,"8 Birchlee, Blackhall Road",57.28403728,-2.391674942
700,2,1,1,65,c,b,05/08/2024,https://www.aspc.co.uk/search/property/427012/42-Prunier-Drive/Peterhead/,42 Prunier Drive,57.5114818,-1.809685023
595,1,1,1,34,e,b,05/08/2024,https://www.aspc.co.uk/search/property/427019/5F-Allan-Street/Aberdeen/,5F Allan Street,57.135658,-2.117455
795,2,1,1,60,c,c,05/08/2024,https://www.aspc.co.uk/search/property/427021/9-Trinity-Court/Westhill/,9 Trinity Court,57.15514691,-2.280666178
1250,2,1,2,90,c,e,05/08/2024,https://www.aspc.co.uk/search/property/427036/28-Queens-Highlands/Aberdeen/,28 Queens Highlands,57.13939282,-2.143145012
425,1,0,1,27,g,a,05/08/2024,https://www.aspc.co.uk/search/property/427041/Top-Floor-Left--11-Commerce-Street/Aberdeen/,"Top Floor Left, 11 Commerce Street",57.14704182,-2.087641283
900,2,1,1,70,c,e,06/08/2024,https://www.aspc.co.uk/search/property/427062/3c-St-Devenicks-Crescent/Aberdeen/,3c St. Devenicks Crescent,57.11796809,-2.173943353
750,2,1,1,58,b,d,09/08/2024,https://www.aspc.co.uk/search/property/427129/49-Charleston-Road-North/Aberdeen/,49 Charleston Road North,57.1053019,-2.095433283
700,2,1,1,60,d,d,09/08/2024,https://www.aspc.co.uk/search/property/427130/542C-Great-Western-Road/Aberdeen/,542C Great Western Road,57.13111655,-2.138603364
695,2,1,1,59,c,b,09/08/2024,https://www.aspc.co.uk/search/property/427131/142-Morrison-Drive/Aberdeen/,142 Morrison Drive,57.12297055,-2.145616201
1600,2,1,2,91,b,e,09/08/2024,https://www.aspc.co.uk/search/property/427153/16-Queens-Highlands/Aberdeen/,16 Queens Highlands,57.13939427,-2.143149706
525,1,1,1,35,e,a,09/08/2024,https://www.aspc.co.uk/search/property/427166/44-Esslemont-Avenue/Aberdeen/,44 Esslemont Avenue,57.148596,-2.115662283
875,3,2,1,101,d,e,09/08/2024,https://www.aspc.co.uk/search/property/427181/36-Malcolm-Road/Aberdeen/,36 Malcolm Road,57.17754982,-2.17405
825,2,1,1,78,c,c,09/08/2024,https://www.aspc.co.uk/search/property/427188/47-Ramsay-Road/Stonehaven/,47 Ramsay Road,56.96562802,-2.225224
1250,3,1,2,92,d,c,09/08/2024,https://www.aspc.co.uk/search/property/427195/17-Edgehill-Gardens/Aberdeen/,17 Edgehill Gardens,57.23384655,-2.099942647
